20200211,13:35:44,307.5,3827.2
20200211,13:40:54,24.2,46.1
20200211,13:42:10,24.3,27.2
20200211,13:43:10,23.6,26.0
20200211,13:44:13,22.8,26.3
20200211,13:45:14,22.8,26.3
20200211,13:46:14,22.6,26.5
20200211,13:47:26,22.4,26.7
20200211,13:48:27,22.3,26.8
20200211,13:49:27,22.3,26.9
20200211,13:50:28,22.2,26.9
20200211,13:51:29,22.2,27.1
20200211,13:52:29,22.1,27.2
20200211,13:53:30,22.1,27.3
20200211,13:54:30,22.1,27.3
20200211,13:55:31,22.1,27.3
20200211,13:56:31,22.1,27.3
20200211,13:57:32,22.0,27.3
20200211,13:58:33,22.0,27.2
20200211,13:59:33,22.0,27.3
20200211,14:00:34,11.0,3290.5
20200211,14:01:34,22.0,27.4
20200211,14:02:35,22.0,27.4
20200211,14:03:35,21.9,27.4
20200211,14:04:36,22.0,27.5
20200211,14:05:37,21.9,27.4
20200211,14:06:37,21.9,27.5
20200211,14:07:38,21.9,27.5
20200211,14:08:38,21.9,27.5
20200211,14:09:39,21.9,27.5
20200211,14:10:40,21.8,27.5
20200211,14:11:40,21.9,27.6
20200211,14:12:41,21.9,27.6
20200211,14:13:44,22.1,27.2
20200211,14:14:44,22.1,27.2
20200211,14:15:45,22.1,27.4
20200211,14:16:46,22.0,27.6
11/02/2020 14:19:23,20200211,14:19:23,21.9,27.8
11/02/2020 14:20:26,20200211,14:20:26,22.0,27.7
11/02/2020 14:21:26,20200211,14:21:26,22.0,27.7
11/02/2020 14:22:27,20200211,14:22:27,22.0,27.7
11/02/2020 14:22:54,20200211,14:22:54,22.0,27.7
11/02/2020 14:23:27,20200211,14:23:27,22.0,27.7
11/02/2020 14:24:28,20200211,14:24:28,22.1,27.7
11/02/2020 14:25:31,20200211,14:25:31,22.1,27.6
11/02/2020 14:26:32,20200211,14:26:32,22.1,27.6
11/02/2020 14:26:55,20200211,14:26:55,22.1,27.5
11/02/2020 14:27:54,20200211,14:27:54,22.1,27.5
11/02/2020 14:31:56,20200211,14:31:56,22.2,27.4
11/02/2020 14:32:55,20200211,14:32:55,22.2,27.4
11/02/2020 14:36:57,20200211,14:36:57,22.2,27.4
11/02/2020 14:38:01,20200211,14:38:01,22.2,27.3
11/02/2020 14:41:57,20200211,14:41:57,22.2,27.3
11/02/2020 14:43:04,20200211,14:43:04,22.4,27.4
11/02/2020 14:46:58,20200211,14:46:58,22.3,27.4
11/02/2020 14:48:04,20200211,14:48:04,22.5,27.3
11/02/2020 14:51:58,20200211,14:51:58,22.5,27.3
11/02/2020 14:53:05,20200211,14:53:05,22.4,26.8
11/02/2020 14:56:59,20200211,14:56:59,22.5,26.8
11/02/2020 14:58:06,20200211,14:58:06,22.5,27.0
11/02/2020 15:02:00,20200211,15:02:00,22.5,27.0
11/02/2020 15:03:06,20200211,15:03:06,22.6,26.9
11/02/2020 15:07:00,20200211,15:07:00,22.6,26.8
11/02/2020 15:08:07,20200211,15:08:07,22.6,26.9
11/02/2020 15:12:01,20200211,15:12:01,22.6,26.7
11/02/2020 15:13:07,20200211,15:13:07,21.8,27.7
11/02/2020 15:17:02,20200211,15:17:02,21.7,27.9
11/02/2020 15:18:08,20200211,15:18:08,21.4,28.2
11/02/2020 15:22:02,20200211,15:22:02,21.3,28.4
11/02/2020 15:23:08,20200211,15:23:08,21.2,28.4
11/02/2020 15:27:03,20200211,15:27:03,21.2,28.9
11/02/2020 15:28:09,20200211,15:28:09,21.1,28.8
11/02/2020 15:32:03,20200211,15:32:03,21.1,29.1
11/02/2020 15:33:09,20200211,15:33:09,21.0,29.0
11/02/2020 15:37:04,20200211,15:37:04,21.0,29.0
11/02/2020 15:38:10,20200211,15:38:10,21.0,29.3
11/02/2020 15:42:04,20200211,15:42:04,21.0,29.2
11/02/2020 15:43:11,20200211,15:43:11,21.1,29.2
11/02/2020 15:47:05,20200211,15:47:05,21.0,29.3
11/02/2020 15:48:16,20200211,15:48:16,21.0,29.2
11/02/2020 15:52:06,20200211,15:52:06,21.0,29.1
11/02/2020 15:53:17,20200211,15:53:17,21.0,29.2
11/02/2020 15:57:06,20200211,15:57:06,21.0,29.1
11/02/2020 15:58:20,20200211,15:58:20,20.9,29.3
11/02/2020 16:02:07,20200211,16:02:07,20.8,29.3
11/02/2020 16:03:21,20200211,16:03:21,20.9,29.5
11/02/2020 16:07:07,20200211,16:07:07,20.8,29.3
11/02/2020 16:12:08,20200211,16:12:08,20.8,30.4
11/02/2020 16:17:08,20200211,16:17:08,20.9,29.6
11/02/2020 16:22:09,20200211,16:22:09,10.4,3291.6
11/02/2020 16:27:09,20200211,16:27:09,20.8,29.6
11/02/2020 16:32:10,20200211,16:32:10,20.8,30.0
11/02/2020 16:37:11,20200211,16:37:11,20.9,29.7
